Robot_ID,Task_Type,Component_ID,Sensor_Type,Sensor_Data,Processing_Time (s),Accuracy (%),Environmental_Status,Energy_Consumption (kWh),Human_Intervention_Needed,Obstacle_Detected,Defect_Detected,Interaction_Count,Steps_Walked,Objects_Recognized,Learning_Sessions,Energy_Consumption (kWh)
RBT_042,Welding,CMP_461,LIDAR + Camera,98% (defect-free),40.9,94.3,Stable,1,No,Yes,Yes,4,43,3,30,123
RBT_043,Inspection,CMP_373,Camera,0 (no obstacle),53.2,90.8,Unstable,1.2,No,Yes,No,7,23,0,91,321
RBT_044,Painting,CMP_658,LIDAR,0 (no obstacle),73.5,97.8,Stable,1.3,No,No,Yes,2,31,2,13,456
RBT_045,Welding,CMP_818,LIDAR,1 (obstacle detected),55.2,90.9,Unstable,1.3,No,Yes,No,6,49,6,64,654
RBT_046,Welding,CMP_857,LIDAR + Camera,92% (visual fit),69,94.2,Stable,1.5,Yes,No,Yes,8,31,5,49,153
RBT_047,Assembly,CMP_117,Camera,1 (obstacle detected),61.1,93.7,Unstable,2.9,No,Yes,Yes,9,49,4,56,426
RBT_048,Welding,CMP_564,Thermal,85.3 (°C),69.5,90.8,Unstable,1.9,Yes,Yes,Yes,4,46,7,23,351
RBT_049,Assembly,CMP_717,LIDAR,0 (clear path),70.3,92.7,Unstable,2.6,No,Yes,Yes,7,41,9,45,145
RBT_050,Inspection,CMP_108,Thermal,75.8 (°C),62.4,97.5,Unstable,1.1,Yes,Yes,Yes,6,49,8,78,254
RBT_051,Painting,CMP_995,LIDAR + Camera,98% (defect-free),50.3,94.3,Stable,1.8,No,Yes,Yes,3,10,7,10,102
RBT_052,Inspection,CMP_476,Camera,98% (defect-free),46,90.2,Stable,2.8,No,No,Yes,1,23,5,12,302
RBT_053,Painting,CMP_255,LIDAR,1 (obstacle detected),74.1,91.1,Stable,1.3,Yes,No,No,4,25,3,45,210
RBT_054,Inspection,CMP_367,Thermal,85.3 (°C),55.4,92.4,Stable,1.7,No,Yes,No,5,34,4,12,320
RBT_055,Painting,CMP_424,Camera,82.4 (°C),77.9,99,Stable,1.1,No,Yes,Yes,6,35,1,32,230
RBT_056,Inspection,CMP_707,Thermal,92% (visual fit),75.9,90.7,Stable,2.9,Yes,No,Yes,5,34,2,65,130
RBT_057,Assembly,CMP_436,LIDAR + Camera,75.8 (°C),40.5,99.5,Unstable,2.3,Yes,Yes,Yes,4,26,5,41,124
RBT_058,Inspection,CMP_803,LIDAR + Camera,0 (no obstacle),56.3,96.9,Unstable,1.3,No,Yes,Yes,5,10,9,25,107
RBT_059,Welding,CMP_137,LIDAR,92% (visual fit),48.8,96.1,Unstable,2.2,Yes,No,Yes,6,19,7,36,108
RBT_060,Welding,CMP_930,Camera,85.3 (°C),74.7,98.6,Stable,2.5,No,Yes,Yes,7,29,8,47,109
RBT_061,Inspection,CMP_564,LIDAR,82.4 (°C),43.7,98.2,Stable,1.8,Yes,Yes,Yes,8,39,5,58,100
RBT_062,Painting,CMP_442,Camera,92% (visual fit),66.3,99.4,Unstable,2.8,Yes,Yes,Yes,3,29,4,10,123
RBT_063,Assembly,CMP_834,Thermal,98% (defect-free),59.4,94.6,Stable,1.8,No,No,No,6,0,6,20,321
RBT_064,Assembly,CMP_443,LIDAR,1 (obstacle detected),47.5,97.6,Unstable,2.5,No,Yes,Yes,7,24,3,30,456
RBT_065,Welding,CMP_867,Camera,0 (clear path),62.4,95,Stable,2.6,No,Yes,Yes,2,25,2,41,654
RBT_066,Assembly,CMP_224,LIDAR + Camera,75.8 (°C),64.2,91.8,Unstable,1.3,No,No,Yes,5,26,1,20,153
RBT_067,Inspection,CMP_509,Thermal,0 (no obstacle),66.1,95.7,Unstable,2.1,No,No,No,6,23,4,32,426
RBT_068,Painting,CMP_395,Thermal,1 (obstacle detected),72,97,Unstable,3,No,No,No,3,13,5,25,351
RBT_069,Assembly,CMP_404,Thermal,98% (defect-free),50.4,96.6,Stable,2.4,No,No,Yes,6,15,3,14,145
RBT_070,Welding,CMP_653,LIDAR + Camera,0 (no obstacle),47.4,91.5,Unstable,2.2,Yes,No,Yes,7,14,2,23,254
RBT_071,Painting,CMP_624,LIDAR,75.8 (°C),78.8,91.2,Stable,2.8,No,No,No,8,16,7,63,102
RBT_072,Assembly,CMP_159,Thermal,98% (defect-free),68.3,96.1,Unstable,1.5,Yes,Yes,No,6,17,9,20,302
RBT_073,Assembly,CMP_876,Thermal,85.3 (°C),41.1,90.1,Unstable,2.9,Yes,No,No,5,29,5,41,210
RBT_074,Welding,CMP_344,LIDAR + Camera,85.3 (°C),66,91.6,Unstable,2.6,No,Yes,Yes,7,34,9,25,320
RBT_075,Welding,CMP_582,LIDAR + Camera,85.3 (°C),43.8,96.4,Stable,1.4,No,No,Yes,8,34,8,16,230
RBT_076,Assembly,CMP_280,LIDAR,98% (defect-free),78.3,95.3,Unstable,1.1,No,No,Yes,9,37,5,23,130
RBT_077,Welding,CMP_173,LIDAR,75.8 (°C),47.9,90.5,Stable,1.3,No,Yes,Yes,3,29,4,14,124
RBT_078,Assembly,CMP_714,Camera,75.8 (°C),46.1,98.1,Unstable,2.4,Yes,No,No,7,38,6,58,107
RBT_079,Assembly,CMP_756,LIDAR + Camera,0 (clear path),71.7,96.7,Stable,2.8,No,No,Yes,8,20,3,26,108
RBT_080,Inspection,CMP_481,Thermal,82.4 (°C),65.1,97.4,Unstable,1.5,Yes,No,Yes,9,36,2,30,109
RBT_081,Welding,CMP_166,Thermal,1 (obstacle detected),51.1,90.8,Unstable,2.9,No,Yes,No,4,31,1,14,100
RBT_082,Assembly,CMP_479,LIDAR + Camera,0 (clear path),56,92.5,Unstable,1.1,Yes,No,Yes,7,32,0,25,123
RBT_083,Welding,CMP_487,Camera,98% (defect-free),46.1,93.4,Unstable,2.7,No,No,No,3,33,7,36,321
RBT_084,Welding,CMP_811,Thermal,92% (visual fit),48.5,92.9,Unstable,2.4,Yes,No,No,2,36,5,69,456
RBT_085,Assembly,CMP_585,LIDAR + Camera,92% (visual fit),54.9,93.2,Unstable,1.5,No,Yes,Yes,1,23,8,58,654
RBT_086,Painting,CMP_569,Thermal,1 (obstacle detected),45.6,92.1,Unstable,1.8,Yes,Yes,No,4,21,9,47,153
RBT_087,Assembly,CMP_623,LIDAR,85.3 (°C),54.7,95.7,Unstable,2.5,Yes,Yes,No,3,22,6,41,426
RBT_088,Painting,CMP_662,Thermal,0 (no obstacle),77.3,95.4,Stable,2.6,No,Yes,Yes,2,18,2,52,351
RBT_089,Inspection,CMP_464,Camera,75.8 (°C),80,93.8,Stable,2.2,No,Yes,Yes,7,25,4,63,145
RBT_090,Inspection,CMP_433,LIDAR + Camera,92% (visual fit),40.1,97.8,Unstable,1.8,Yes,Yes,No,3,40,5,10,254
RBT_091,Inspection,CMP_864,LIDAR,75.8 (°C),55.6,99.7,Stable,2.5,No,Yes,Yes,8,49,2,20,102
RBT_092,Welding,CMP_189,LIDAR + Camera,92% (visual fit),61,98.9,Unstable,2.5,No,Yes,No,9,43,1,30,302
RBT_093,Painting,CMP_800,LIDAR,92% (visual fit),70.9,91.3,Unstable,3,No,Yes,No,10,23,7,91,210
RBT_094,Assembly,CMP_605,LIDAR + Camera,0 (clear path),75.8,91.2,Stable,1.3,Yes,Yes,No,6,31,6,13,320
RBT_095,Painting,CMP_462,LIDAR,1 (obstacle detected),65.3,92.1,Unstable,1.6,Yes,Yes,Yes,3,49,5,64,230
RBT_096,Painting,CMP_729,LIDAR,75.8 (°C),76.9,90.7,Unstable,1.8,No,No,No,4,31,4,49,130
RBT_097,Welding,CMP_881,LIDAR,0 (clear path),63.7,93.4,Stable,1.7,Yes,No,Yes,5,49,8,56,124
RBT_098,Assembly,CMP_596,LIDAR,75.8 (°C),78.4,93.6,Unstable,2.6,No,Yes,No,6,46,9,23,107
RBT_099,Inspection,CMP_268,Thermal,98% (defect-free),75.5,90.9,Stable,1.1,No,No,No,4,41,3,45,108
RBT_100,Welding,CMP_537,LIDAR + Camera,1 (obstacle detected),78.8,96.3,Stable,2.3,Yes,Yes,No,5,49,2,78,109
RBT_101,Painting,CMP_540,Thermal,0 (clear path),78.7,95.4,Stable,2.5,Yes,No,No,2,10,2,10,100
RBT_102,Welding,CMP_550,LIDAR,98% (defect-free),61.3,96.4,Unstable,1.1,No,No,No,6,23,4,12,123
RBT_103,Assembly,CMP_269,Thermal,85.3 (°C),77.1,96.9,Stable,1.2,Yes,Yes,No,2,25,3,45,321
RBT_104,Inspection,CMP_199,LIDAR + Camera,82.4 (°C),44.7,97.5,Unstable,1.8,No,Yes,Yes,7,34,5,12,456
RBT_105,Welding,CMP_649,LIDAR + Camera,1 (obstacle detected),42.1,98.8,Unstable,1.1,Yes,No,No,8,35,3,32,654
RBT_106,Welding,CMP_554,LIDAR + Camera,1 (obstacle detected),52.4,92.4,Stable,1.2,No,No,No,2,34,6,65,153
RBT_107,Inspection,CMP_856,LIDAR,0 (clear path),72.2,91.8,Stable,2.9,Yes,No,Yes,9,26,4,41,426
RBT_108,Welding,CMP_681,LIDAR,85.3 (°C),47.1,93.5,Unstable,2.7,No,No,Yes,4,10,7,25,351
RBT_109,Painting,CMP_394,LIDAR + Camera,98% (defect-free),42.3,96.7,Unstable,1.4,No,Yes,Yes,0,19,2,36,145
RBT_110,Assembly,CMP_577,Thermal,1 (obstacle detected),65.7,91,Stable,1.8,Yes,No,Yes,1,29,5,47,254
RBT_111,Inspection,CMP_737,Thermal,85.3 (°C),59.5,95.7,Unstable,2.4,No,No,No,6,39,8,58,102
RBT_112,Assembly,CMP_440,Camera,92% (visual fit),52.5,94.4,Stable,2.4,Yes,No,No,3,29,9,10,302
RBT_113,Assembly,CMP_574,LIDAR + Camera,98% (defect-free),77.7,91.7,Unstable,2.3,No,No,Yes,11,0,7,20,210
RBT_114,Assembly,CMP_540,Camera,1 (obstacle detected),41.3,97.5,Unstable,1,No,No,Yes,7,24,0,30,320
RBT_115,Painting,CMP_925,Camera,82.4 (°C),56.5,99.4,Unstable,2.4,Yes,No,Yes,8,25,1,41,230
RBT_116,Welding,CMP_984,Thermal,0 (clear path),72.9,90.8,Unstable,1.8,Yes,No,No,3,26,2,20,130
RBT_117,Assembly,CMP_491,Thermal,0 (no obstacle),75.3,90.7,Stable,2,Yes,Yes,No,9,23,3,32,124
RBT_118,Assembly,CMP_240,LIDAR + Camera,98% (defect-free),52.7,97.7,Stable,2.3,No,Yes,Yes,2,13,2,25,107
RBT_119,Welding,CMP_498,Camera,75.8 (°C),49.7,98.3,Unstable,2.6,Yes,Yes,Yes,6,15,5,14,108
RBT_120,Welding,CMP_747,LIDAR,0 (clear path),65.5,94.6,Unstable,1.1,No,Yes,Yes,5,14,3,23,109
RBT_121,Inspection,CMP_386,Camera,1 (obstacle detected),51.4,93.8,Stable,1.4,Yes,No,Yes,4,16,4,63,100
RBT_122,Inspection,CMP_461,LIDAR + Camera,1 (obstacle detected),64.6,95,Unstable,1.6,Yes,Yes,Yes,7,17,6,20,123
RBT_123,Welding,CMP_489,LIDAR,1 (obstacle detected),65.8,90.1,Unstable,2.6,No,No,Yes,8,29,2,41,321
RBT_124,Painting,CMP_270,Camera,0 (no obstacle),40.2,91.9,Stable,2,Yes,No,Yes,3,34,5,25,456
RBT_125,Welding,CMP_233,Thermal,1 (obstacle detected),57.5,90.1,Stable,2.3,No,Yes,No,2,34,4,16,654
RBT_126,Inspection,CMP_993,LIDAR,0 (clear path),42.8,91.5,Stable,2.1,Yes,Yes,Yes,7,37,7,23,153
RBT_127,Inspection,CMP_429,LIDAR + Camera,92% (visual fit),40.4,98.8,Stable,2.3,No,No,No,8,29,8,14,426
RBT_128,Welding,CMP_188,LIDAR,0 (clear path),43.9,92,Unstable,2.7,No,No,Yes,8,38,9,58,351
RBT_129,Painting,CMP_619,Thermal,85.3 (°C),68.2,91,Stable,1.1,No,Yes,Yes,9,20,6,26,145
RBT_130,Assembly,CMP_920,Thermal,0 (clear path),53.8,97.7,Stable,2.5,No,No,No,4,36,3,30,254
RBT_131,Assembly,CMP_717,Thermal,92% (visual fit),70.3,95,Stable,1.7,No,Yes,No,5,31,2,14,102
RBT_132,Welding,CMP_137,Thermal,0 (clear path),60.4,95.9,Unstable,1.3,No,No,Yes,12,32,1,25,302
RBT_133,Painting,CMP_241,LIDAR + Camera,1 (obstacle detected),53.3,96.2,Stable,1.8,Yes,No,Yes,3,33,5,36,210
RBT_134,Welding,CMP_617,Camera,92% (visual fit),47.4,97,Stable,1.3,No,Yes,Yes,6,36,4,69,320
RBT_135,Inspection,CMP_613,Thermal,1 (obstacle detected),54.4,95.1,Unstable,2.9,No,Yes,No,5,23,8,58,230
RBT_136,Painting,CMP_476,Thermal,1 (obstacle detected),57.5,96.6,Stable,2.1,Yes,Yes,Yes,8,21,9,47,130
RBT_137,Welding,CMP_583,Thermal,1 (obstacle detected),64.1,96.4,Unstable,2.6,No,Yes,No,3,22,6,41,124
RBT_138,Inspection,CMP_105,Camera,0 (no obstacle),61.7,99.7,Unstable,1.7,No,No,No,6,18,7,52,107
RBT_139,Assembly,CMP_684,Camera,98% (defect-free),70,90,Stable,1.2,Yes,No,No,7,25,2,63,108
RBT_140,Painting,CMP_941,LIDAR + Camera,85.3 (°C),75,94.8,Unstable,1.9,Yes,Yes,No,8,40,3,10,109
RBT_141,Welding,CMP_772,Thermal,0 (no obstacle),46.7,91.7,Stable,1.5,No,Yes,No,9,49,1,20,100
RBT_142,Assembly,CMP_359,Camera,0 (no obstacle),79.5,99,Stable,1.6,Yes,No,Yes,4,43,3,30,123
RBT_143,Inspection,CMP_782,Camera,85.3 (°C),54.9,92.5,Stable,1.5,Yes,No,No,7,23,0,91,321
RBT_144,Assembly,CMP_275,Camera,85.3 (°C),55.6,90.9,Unstable,2.2,Yes,Yes,No,2,31,2,13,456
RBT_145,Assembly,CMP_443,LIDAR,0 (no obstacle),75.7,95.4,Unstable,2.4,No,Yes,No,6,49,6,64,654
RBT_146,Welding,CMP_508,LIDAR,82.4 (°C),74.5,99.7,Stable,2.1,No,Yes,Yes,8,31,5,49,153
RBT_147,Inspection,CMP_277,Thermal,92% (visual fit),52.8,95.4,Stable,1.8,No,Yes,Yes,9,49,4,56,426
RBT_148,Assembly,CMP_207,LIDAR,85.3 (°C),48.4,94.2,Unstable,2,No,Yes,Yes,4,46,7,23,351
RBT_149,Assembly,CMP_461,Thermal,1 (obstacle detected),48.9,98.6,Stable,1.1,Yes,Yes,Yes,7,41,9,45,145
RBT_150,Inspection,CMP_351,Camera,92% (visual fit),53.8,91.1,Unstable,2.6,Yes,No,No,6,49,8,78,254
RBT_151,Painting,CMP_536,Thermal,75.8 (°C),77.2,99.3,Stable,1.3,Yes,No,Yes,3,10,7,10,102
RBT_152,Assembly,CMP_819,Camera,82.4 (°C),59.6,93.2,Unstable,1.2,Yes,No,Yes,1,23,5,12,302
RBT_153,Painting,CMP_724,LIDAR,85.3 (°C),48.4,91.9,Unstable,2.4,Yes,No,Yes,4,25,3,45,210
RBT_154,Inspection,CMP_830,LIDAR + Camera,75.8 (°C),58.5,94.4,Unstable,1.5,No,No,Yes,5,34,4,12,320
RBT_155,Painting,CMP_545,Camera,0 (no obstacle),46.6,94,Stable,1.3,Yes,Yes,No,6,35,1,32,230
RBT_156,Painting,CMP_403,LIDAR + Camera,75.8 (°C),56.5,96.7,Stable,1.4,Yes,No,No,5,34,2,65,130
RBT_157,Inspection,CMP_395,Thermal,92% (visual fit),55.6,93.6,Unstable,2.7,No,No,No,4,26,5,41,124
RBT_158,Welding,CMP_526,Camera,75.8 (°C),70.9,90.6,Unstable,1.7,No,Yes,No,5,10,9,25,107
RBT_159,Assembly,CMP_914,LIDAR + Camera,0 (no obstacle),60.3,98.9,Unstable,2,No,No,No,6,19,7,36,108
RBT_160,Welding,CMP_658,LIDAR,92% (visual fit),78.1,95.9,Stable,1.8,No,Yes,Yes,7,29,8,47,109
RBT_161,Welding,CMP_600,Camera,0 (no obstacle),51.3,90.2,Stable,2.1,Yes,Yes,Yes,8,39,5,58,100
RBT_162,Inspection,CMP_709,Camera,1 (obstacle detected),69.6,94,Unstable,2.8,Yes,No,Yes,3,29,4,10,123
RBT_163,Painting,CMP_816,LIDAR,98% (defect-free),77.2,90.4,Unstable,1.5,No,No,No,6,0,6,20,321
RBT_164,Welding,CMP_116,Thermal,1 (obstacle detected),54.3,97.2,Stable,1.6,No,No,No,7,24,3,30,456
RBT_165,Painting,CMP_837,Camera,82.4 (°C),51,95.4,Unstable,2.7,Yes,Yes,Yes,2,25,2,41,654
RBT_166,Assembly,CMP_825,LIDAR + Camera,1 (obstacle detected),61,90.1,Unstable,2.9,Yes,No,No,5,26,1,20,153
RBT_167,Assembly,CMP_344,LIDAR + Camera,85.3 (°C),66.5,93,Unstable,1.2,Yes,No,No,6,23,4,32,426
RBT_168,Painting,CMP_843,LIDAR,75.8 (°C),78.6,93.3,Stable,2.6,Yes,No,No,3,13,5,25,351
RBT_169,Painting,CMP_314,LIDAR + Camera,82.4 (°C),56.4,90.7,Unstable,1.9,Yes,Yes,No,6,15,3,14,145
RBT_170,Assembly,CMP_177,Camera,0 (no obstacle),68.6,96,Stable,1.8,Yes,No,Yes,7,14,2,23,254
RBT_171,Inspection,CMP_887,LIDAR,0 (no obstacle),47.1,92.2,Stable,2.5,Yes,No,Yes,8,16,7,63,102
RBT_172,Welding,CMP_559,LIDAR + Camera,85.3 (°C),45.7,94.7,Unstable,1.9,Yes,Yes,No,6,17,9,20,302
RBT_173,Welding,CMP_915,LIDAR + Camera,92% (visual fit),62.3,90.7,Stable,1.8,Yes,No,No,5,29,5,41,210
RBT_174,Inspection,CMP_178,LIDAR,75.8 (°C),53.1,98.5,Unstable,2.9,Yes,Yes,Yes,7,34,9,25,320
RBT_175,Inspection,CMP_408,Camera,92% (visual fit),75.3,91.5,Stable,2.1,No,No,Yes,8,34,8,16,230
RBT_176,Welding,CMP_778,Thermal,1 (obstacle detected),64.4,94.2,Unstable,1.4,Yes,No,No,9,37,5,23,130
RBT_177,Painting,CMP_669,Camera,0 (no obstacle),46.1,98.7,Stable,2,Yes,Yes,No,3,29,4,14,124
RBT_178,Welding,CMP_432,LIDAR,0 (no obstacle),41.6,93.6,Stable,2.8,No,Yes,No,7,38,6,58,107
RBT_179,Welding,CMP_994,LIDAR,85.3 (°C),45.1,98.9,Stable,1.6,No,No,No,8,20,3,26,108
RBT_180,Assembly,CMP_755,Camera,75.8 (°C),66.6,99.7,Unstable,1.1,Yes,Yes,Yes,9,36,2,30,109
RBT_181,Assembly,CMP_573,Thermal,0 (no obstacle),63.8,96.9,Unstable,2.5,Yes,No,Yes,4,31,1,14,100
RBT_182,Inspection,CMP_843,Camera,82.4 (°C),42.8,95,Stable,2.4,Yes,Yes,No,7,32,0,25,123
RBT_183,Assembly,CMP_983,LIDAR + Camera,1 (obstacle detected),62.3,91.6,Unstable,1.8,Yes,No,Yes,3,33,7,36,321
RBT_184,Inspection,CMP_462,LIDAR + Camera,98% (defect-free),74.6,92.3,Stable,2.6,No,No,No,2,36,5,69,456
RBT_185,Welding,CMP_388,Thermal,1 (obstacle detected),58.9,97.5,Stable,2.5,No,Yes,Yes,1,23,8,58,654
RBT_186,Welding,CMP_691,Thermal,82.4 (°C),40.2,93.4,Stable,2.7,No,Yes,No,4,21,9,47,153
RBT_187,Inspection,CMP_313,LIDAR,0 (no obstacle),75,94.2,Unstable,2.3,Yes,No,No,3,22,6,41,426
RBT_188,Painting,CMP_154,LIDAR,82.4 (°C),43,91.3,Stable,1.9,Yes,No,No,2,18,2,52,351
RBT_189,Welding,CMP_516,Camera,82.4 (°C),79.9,95.9,Unstable,2.3,Yes,No,Yes,7,25,4,63,145
RBT_190,Inspection,CMP_343,Camera,0 (clear path),62.2,92.2,Stable,1.1,No,No,Yes,3,40,5,10,254
RBT_191,Painting,CMP_686,LIDAR,92% (visual fit),58.1,98.9,Unstable,2.4,No,No,Yes,8,49,2,20,102
RBT_192,Assembly,CMP_238,LIDAR + Camera,85.3 (°C),53.9,93.2,Stable,2.7,No,No,Yes,9,43,1,30,302
RBT_193,Inspection,CMP_385,LIDAR,98% (defect-free),41.2,92.7,Unstable,1.8,Yes,Yes,No,10,23,7,91,210
RBT_194,Painting,CMP_791,Thermal,98% (defect-free),72.8,98.8,Stable,1.2,Yes,Yes,No,6,31,6,13,320
RBT_195,Assembly,CMP_764,LIDAR + Camera,92% (visual fit),76.7,91.3,Stable,2.9,Yes,Yes,No,3,49,5,64,230
RBT_196,Inspection,CMP_852,Thermal,0 (clear path),53.9,92.9,Unstable,2.1,Yes,No,Yes,4,31,4,49,130
RBT_197,Assembly,CMP_561,Camera,98% (defect-free),42.6,96.3,Stable,1.4,Yes,Yes,Yes,5,49,8,56,124
RBT_198,Painting,CMP_646,LIDAR + Camera,1 (obstacle detected),75.9,91.1,Unstable,2.6,No,No,Yes,6,46,9,23,107
RBT_199,Inspection,CMP_944,LIDAR,1 (obstacle detected),64,90.9,Stable,1.6,Yes,Yes,Yes,4,41,3,45,108
RBT_200,Painting,CMP_284,Camera,92% (visual fit),47.2,94.5,Stable,2.7,Yes,No,No,5,49,2,78,109
RBT_201,Assembly,CMP_599,Thermal,85.3 (°C),40.5,92.8,Unstable,2.7,Yes,Yes,Yes,2,10,2,10,100
RBT_202,Painting,CMP_786,LIDAR,92% (visual fit),49.8,95.4,Unstable,1.4,No,No,No,6,23,4,12,123
RBT_203,Welding,CMP_296,LIDAR,82.4 (°C),66.9,99,Stable,2,No,No,No,2,25,3,45,321
RBT_204,Painting,CMP_774,Thermal,1 (obstacle detected),61.3,96.2,Stable,2.7,Yes,Yes,Yes,7,34,5,12,456
RBT_205,Assembly,CMP_636,Camera,0 (clear path),72,98.1,Unstable,1,Yes,No,Yes,8,35,3,32,654
RBT_206,Inspection,CMP_398,LIDAR,85.3 (°C),60.6,99.2,Stable,1.5,Yes,Yes,Yes,2,34,6,65,153
RBT_207,Assembly,CMP_141,LIDAR,75.8 (°C),57.2,99,Stable,3,No,No,No,9,26,4,41,426
